Name,Visited,Visited Date,Suburb,Rating/5,Price,Description,Review,Tags,Website,Maps Url,Img
La Luna Bistro,Yes,9/08/2022,Carlton North,9,$$$,La Luna is a French fine dining experience<comma> it will please your stomach and hurt your wallet ,,Fine Dining|French|,https://www.lalunabistro.com.au/,,la-luna.jpg
Lagoon Dining,Yes,21/04/2022,Carlton,8,$$$,A modern and classy take on chinese cuisine<comma> featuring a small but focused menu,,Fine Dining|Chinese|,https://www.lagoondining.com/,,
Robata Japanese Grill,,,,,,,,,,,
Chef David,Yes,5/10/2022,Melbourne,6,$$$,One of the latest restaraunts from David Li<comma> presenting like a night club while serving up chinese favorites,,Hot Pot|Chinese|,https://cd-mel.com.au/,,chef-david.jpg
Ish Restaurant ,Yes,12/10/2022,Fitzroy,7,$$,Indian food served in a classy and upmarket venue,,Indian|,https://ishrestaurant.com.au/,,ish.jpg
Yakimono,Yes,1/05/2022,Melbourne,7,$$$,A vivid and visceral take on modern japanese<comma> with wild visuals and an electric atmosphere,,Japanese|,https://yakimono.com.au/,,
Nomad,Yes,30/04/2022,Melbourne,8,$$$,Nomad's melbourne prescence dish's up a fine selection of mediterranean inspired meals,,Fine Dining|,https://nomad.melbourne/,,
Dosirock,,,,,,,,,,,
Hai Di Lao,Yes,19/04/2021,Glen Waverley,7,$$$,The latest in an international chain of hotpot restaraunts<comma> the Glen Waverley store offers flashy service and a delicious menu,,Hot Pot|Chinese|,https://www.haidilao.com/,,
Panda Hotpot,Yes,19/06/2022,Carlton,7,$$$,Quite possibly the most iconic hotpot in Melbourne<comma> expect to line up for even if you have a booking!,,Hot Pot|Chinese|,https://pandahotpot.com.au/,,
Mabu Mabu,,,,,,,,,,,
Bincho Boss,Yes,16/11/2022,Melbourne,6,$$$,Tucked away in little bourke street<comma> the perfect addition to a stellar display of Melbourne dining culture,,Japanese|,https://binchoboss.com.au/,,bincho-boss.jpg
Kazukis,,,,,,,,Fine Dining|,,,
Soi 38 ,Mum,8/11/2022,Melbourne,?,$,,?,Budget|Thai|,,,
Funghi E Tartufo,Yes,9/09/2022,Melbourne,8,$$,A plant based and fully vegan Italian restaurant<comma> poised to compete with its meat based peers,,Vegan|Italian|,https://www.funghietartufo.com.au/,,
Klae,,,,,,,,,,,
Fancy Hanks,,,,,,,,,,,
Mongok Teahouse,,,,,,,,,,,
Pasta Shop Cucina,,,,,,,,,,,
Botswana Butchery ,Yes,19/10/2022,Melbourne,8,$$$,Located in the East End<comma> Botswana Butchery fits into the high fashion and upmarket vibe of its surroundings,,Fine Dining|Steakhouse|,https://www.melbourne.botswanabutchery.com.au/,,
Shousumiyaki,,,,,,,,,,,
Masani,Yes,15/05/2022,Carlton,4,$$$,Hidden in the suburban streets of carlton<comma> Masani attempts to present fine Italian dining to those who can find it,,Fine Dining|Italian|,https://www.masani.com.au/,,
Kuro,,,,,,,,,,,
Ishiya Stone Grill,,,,,,,,,,,
Smokey Jakes Neighborhood Bbq,,,,,,,,,,,
Yugen Dining,,,,,,,,,,,
Maha,,,Melbourne,,,,,,,,
Via Torino,,,,,,,,,,,
Byrdi,,,,,,,,,,,
Panda Bbq,,,,,,,,,,,
Nobi Yakiniku,,,,,,,,,,,
Lilian Brasserie,,,,,,,,,,,
Kettle Black,,,,,,,,,,,
Yum Sing,,,,,,,,,,,
Ruyi,,,,,,,,,,,
Tsuru Japanese Cuisine,,,,,,,,,,,
Farmers Daughters,,,,,,,,,,,
Du Stasio,,,,,,,,,,,
Sezar,,,,,,,,,,,
Foglia De Fico,,,,,,,,,,,
Lucy Liu,,,,,,,,,,,
Chinchin,,,,,,,,,,,
Li Ho Fuc,,,,,,,,,,,
Matilda 159 Domain,,,,,,,,,,,
March,,,Melbourne,,,,,,,,
Crystal Jade,,,Melbourne,,,,,,,,
Kai Dining,,,,,,,,,,,
The Glass Den,,,,,,,,,,,
Moon House,,,,,,,,,,,
Katori Japanese,,,,,,,,,,,
Tungthit Sizzling Steak,,,,,,,,,,,
Nazar Wine Bar,,,,,,,,,,,
Izakaya Minami,,,,,,,,,,,
Black Gold Coffee,,,Richmond,,,,,,,,
Monoxo,,,,,,,,,,,
Luci,,,,,,,,,,,
Pearl Oyster Co,,,,,,,,,,,
Gogimatcha,,,,,,,,,,,
The Kingston,,,,,,,,,,,
James South,,,Melbourne,,,,,,,,
Nook Dining,,,,,,,,,,,
Kekou,,,,,,,,,,,
Onda,,,Melbourne,,,,,,,,
Jubilee On Dorcas,,,,,,,,,,,
89 Eureka,,,,,,,,,,,
Hanzo Babekyu,,,,,,,,,,,
Lover On Chapel,,,,,,,,,,,
Bistrot D Orsay,,,,,,,,,,,
Kata Kita,,,,,,,,,,,
Epocha Hope,,,,,,,,,,,
Prior Thornbury,,,,,,,,,,,
Nefes Carlton,,,,,,,,,,,
Bon Appetit,,,Fitzroy,,,,,,,,
Hareruya Pantry,,,,,,,,,,,
Stomping Ground Brewery,,,Collingwood,,,,,,,,
Wolf Of The Willows Brewery,,,,,,,,,,,
279 Victoria Street,,,,,,,,,,,
Flint On Smith ,,,,,,,,,,,
Saint Jaxie Cafe,,,,,,,,,,,
Middletown ,,,Prahran,,,,,,,,
Saigon Mama,,,,,,,,,,,
Twenty And Six,,,,,,,,,,,
Operator 25,,,,,,,,,,,
Juno Eatery,,,,,,,,,,,
Mckinley Eatery,,,,,,,,,,,
Indu ,,,Melbourne,,,,,,,,
Mejico,,,,,,,,,,,
Oppen,,,,,,,,,,,
Trinket Bar,,,,,,,,,,,
Machi,,,St Kilda,,,,,,,,
Salted Egg,,,,,,,,,,,
Franks,,,Melbourne,,,,,,,,
Mr And Mrs Anderson,,,,,,,,,,,
Qbbq,,,,,,,,,,,
Al Dente Enoteca,,,,,,,,,,,
Repeat offender,,,,,,,,,,,
Ronnie's ,,,,,,,,,,,
Shu Restaraunt,,,,,,,,,,,
The Glass Den,,,,,,,,,,,
Solarace,,,,,,,,,,,
Kisume,,,,,,,,,,,
Yakikami,,,,,,,,,,,
Lume Restaurant,,,,,,,,,,,
Rowena Corner Store,,,,,,,,,,,
Tote Bar and Dining,,,,,,,,,,,
Gaijin,,,,,,,,,,,
Makani,,,,,,,,,https://makaninmelbourne.com.au/,,
